compound_name,num_experiments,num_species,num_taxa,num_pmids,median_effect,trimmed_mean_effect,sign_consistency,leave_one_species_out_stability,leave_one_taxon_out_stability,aggregation_stability,breadth_score,robustness_score,avg_significance_summary,max_significance_summary,taxa_present,species_present,pmids,evidence_tier,robust_flag,thin_evidence_reason,rank,empirical_p_value,null_exceedance_rate,null_z_score
KT140,1,1,1,1,26.0,26.0,1.0,0.0,0.0,1.0,0.25,0.4635,S:1,blank:1,nematode,Caenorhabditis elegans,30911178,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,364,0.14285714285714285,0.142,0.6115494313452731
para-topolin,2,1,1,1,6.5,6.5,1.0,0.0,0.0,1.0,0.3055555555555555,0.4634444444444445,NS:1;S:1,blank:2,nematode,Caenorhabditis elegans,29255944,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,365,0.5604395604395604,0.56,0.5759996542719538
6-shogaol,1,1,1,1,25.9,25.9,1.0,0.0,0.0,1.0,0.25,0.4634,S:1,blank:1,nematode,Caenorhabditis elegans,29978428,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,366,0.12187812187812187,0.121,0.5934904724416725
Haloperidol,2,1,1,1,6.36,6.36,1.0,0.0,0.0,1.0,0.3055555555555555,0.46330444444444446,NS:1;S:1,blank:2,insect,Drosophila melanogaster,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,367,0.3066933066933067,0.306,0.9235737396069517
Azacytidine,1,1,1,1,25.8,25.8,1.0,0.0,0.0,1.0,0.25,0.4633,S:1,blank:1,nematode,Caenorhabditis elegans,31089188,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,368,0.14085914085914086,0.14,0.5797658878834
Flunarizine hydrochloride II,2,1,1,1,6.255000000000001,6.255000000000001,1.0,0.0,0.0,1.0,0.3055555555555555,0.4631994444444445,NS:1;S:1,blank:2,nematode,Caenorhabditis elegans,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,369,0.5184815184815185,0.518,0.6278031925398445
"2,3-dehydrosilybin",2,1,1,1,6.155,6.155,1.0,0.0,0.0,1.0,0.3055555555555555,0.4630994444444445,S:2,blank:2,nematode,Caenorhabditis elegans,28039083,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,370,0.5484515484515484,0.548,0.5821787888448055
Emblica officinalis extract,2,1,1,1,5.9,5.9,1.0,0.0,0.0,1.0,0.3055555555555555,0.4628444444444445,S:2,blank:2,insect,Drosophila melanogaster,24967413,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,371,0.3206793206793207,0.32,0.9048252863489886
Phenyl furoxancarbonitrile,2,1,1,1,5.835,5.835,1.0,0.0,0.0,1.0,0.3055555555555555,0.46277944444444447,NS:1;S:1,blank:2,insect,Drosophila melanogaster,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,372,0.37162837162837165,0.371,0.8613515721583589
Epoxy Pregnenolone,2,1,1,1,5.57,5.57,1.0,0.0,0.0,1.0,0.3055555555555555,0.4625144444444445,NS:2,blank:2,insect,Drosophila melanogaster,33008901,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,373,0.34465534465534464,0.344,0.8748292928847602
Carbinoxamine maleate,1,1,1,1,25.0,25.0,1.0,0.0,0.0,1.0,0.25,0.4625,NS:1,blank:1,insect,Drosophila melanogaster,4397875,thin_evidence,False,species_lt_2;experiments_lt_3;pmids_lt_2;taxa_lt_2,374,0.06793206793206794,0.067,0.8464489834815189
